repo,rv,hb,hbepoch,shb,shbepoch,fhb,lockset,goldilocks,wcp,syncp
rbuck/java-retry,0,0,0,0,0,0,0,0,0,0
mikebrock/jboss-websockets,0,0,0,0,0,0,0,0,0,0
PhantomThief/thrift-pool-client,0,0,0,0,0,0,0,0,0,0
hackingwu/Java-Promise,0,0,0,0,0,0,0,0,0,0
520github/fw-parallel-task,0,0,0,0,0,0,0,0,0,0
anomalizer/tungsten-fsm,0,0,0,0,0,0,0,0,0,0
ihaolin/wechat,0,0,0,0,0,0,0,0,0,0
rovats/java-utils,0,0,0,0,0,0,0,0,0,0
MountCloud/ffmpeg-operate,0,0,0,0,0,0,0,0,0,0
zman2013/scuttlebutt,0,0,0,0,0,0,0,0,0,0
offbynull/portmapper,0,0,0,0,0,0,0,0,0,0
sdorra/ldap-unit,0,0,0,0,0,0,0,0,0,0
kurbatov/firmata4j,0,0,0,0,0,0,0,0,0,0
Azure-Samples/cassandra-proxy,0,0,0,0,0,0,0,0,0,0
tguzik/m2u,0,0,0,0,0,0,0,0,0,0
j-easy/easy-flows,0,0,0,0,0,0,0,0,0,0
cilogi/gaeshiro,0,0,0,0,0,0,0,0,0,0
VaughnVernon/mockroservices-java,0,0,0,0,0,0,0,0,0,0
jiangxincode/SearchEngine,0,0,0,0,0,0,0,0,0,0
dubasdey/portable-ftp-server,0,0,0,0,0,0,0,0,0,0
opentracing-contrib/java-concurrent,0,0,0,0,0,0,0,0,0,0
javadelight/delight-fileupload,0,0,0,0,0,0,0,0,0,0
dyorgio/cpu-watcher,0,0,0,0,0,0,0,0,0,0
ashenwgt/awesome-bdd-with-cucumber,0,0,0,0,0,0,0,0,0,0
Skullabs/powerlib,0,0,0,0,0,0,0,0,0,0
tv2norge-collab/java-serf-client,0,0,0,0,0,0,0,0,0,0
alibaba-rsocket-broker/rsocket-broker-gateway-mqtt,0,0,0,0,0,0,0,0,0,0
Bernardo-MG/repository-pattern-java,0,0,0,0,0,0,0,0,0,0
laforge49/JFile,0,0,0,0,0,0,0,0,0,0
ronmamo/reflections,0,0,0,0,0,0,0,0,1,0
syphr42/prom,0,0,0,0,0,0,0,0,0,0
jclawson/jackson-dataformat-hocon,0,0,0,0,0,0,0,0,0,0
xebia-france/xebia-servlet-extras,0,0,0,0,0,0,0,0,0,0
vbauer/herald,0,0,0,0,0,0,0,0,1,0
kevinsawicki/http-request,0,0,0,0,0,0,0,0,0,0
majusko/grpc-jwt-spring-boot-starter,0,0,0,0,0,0,0,0,1,0
kevinsawicki/etag-cache,0,0,0,0,0,0,0,0,0,0
jalpedersen/jetty-hazelcast,0,0,0,0,0,0,0,0,0,0
zhanyeye/DesSim,0,0,0,0,0,0,0,0,0,0
buddycloud/channel-directory,0,0,0,0,0,0,0,0,0,0
520github/fw-perf-test,0,0,0,0,0,0,0,0,0,0
NetsOSS/embedded-jetty,0,0,0,0,0,0,0,0,0,0
undera/perfmon-agent,0,0,0,0,0,0,0,0,0,0
spotify/hadoop-openpgp-codec,0,0,0,0,0,0,0,0,0,0
InfoSec812/sonar-auth-google,0,0,0,0,0,0,0,0,1,0
jillesvangurp/spring-depend,0,0,0,0,0,0,0,0,0,0
Ardesco/driver-binary-downloader-maven-plugin,0,0,0,0,0,0,0,0,1,0
agapsys/embedded-servlet-container,0,0,0,0,0,0,0,0,0,0
m-czernek/acrobot,0,0,0,0,0,0,0,0,1,0
bingoohuang/westid,0,0,0,0,0,0,0,0,0,0
JavaMoney/jsr354-ri-bp,0,0,0,0,0,0,0,0,0,0
buddycloud/buddycloud-server-java,0,0,0,0,0,0,0,0,0,0
proofpoint/event-collector,0,0,0,0,0,0,0,0,0,0
RuntimeTools/javametrics,0,0,0,0,0,0,0,0,0,0
gilbutITbook/006955,0,0,0,0,0,0,0,0,0,0
blackdoor/blackdoor,0,0,0,0,0,0,0,0,0,0
spotify/trickle,0,0,0,0,0,0,0,0,1,0
uia4j/uia-sim,0,0,0,0,0,0,0,0,1,0
seaswalker/netty-wheel,0,0,0,0,0,0,0,0,0,0
graylog-labs/log4j2-gelf,0,0,0,0,0,0,0,0,0,0
rjo1970/dumbster,0,0,0,0,0,0,0,0,0,0
SonarSource/sonar-auth-bitbucket,0,0,0,0,0,0,0,0,1,0
GoogleCloudPlatform/appengine-angular-guestbook-java,0,0,0,0,0,0,0,0,1,0
arquillian/arquillian-container-openshift,0,0,0,0,0,0,0,0,1,0
matthewhorridge/binaryowl,0,0,0,0,0,0,0,0,1,0
probedock/probedock-demo-junit,0,0,0,0,0,0,0,0,1,1
alexvictoor/netty-livereload,0,0,0,0,0,0,0,0,0,0
chyxion/table-to-xls,0,0,0,0,0,0,0,0,1,0
