repo,baseline,rv,rv(x),races,hb,hb:pp,hb(x),races,hbepoch,hbepoch:pp,hbepoch(x),races,shb,shb:pp,shb(x),races,shbepoch,shbepoch:pp,shbepoch(x),races,fhb,fhb:pp,fhb(x),races,lockset,lockset:pp,lockset(x),races,goldilocks,goldilocks:pp,goldilocks(x),races,wcp,wcp:pp,wcp(x),races,syncp,syncp:pp,syncp(x),races
rbuck/java-retry,26.3,96.6,3.7,0,32.2,0.4,1.2,12,32.3,0.3,1.2,12,32.4,0.3,1.2,9,32.7,0.3,1.3,9,32.2,0.3,1.2,9,32.4,0.3,1.2,10,32.1,0.3,1.2,14,31.3,0.3,1.2,12,32.5,0.2,1.2,8
mikebrock/jboss-websockets,31.8,97.6,3.1,0,36.2,94.4,4.1,13,36.9,39.9,2.4,13,36.4,5,1.3,7,38.1,5.1,1.4,7,37.9,3.7,1.3,7,37.3,10.3,1.5,43,36.1,4,1.3,10,38,59.6,3.1,7,85.2,0.2,2.7,0
PhantomThief/thrift-pool-client,1.3,65.3,48.7,0,5.7,0.3,4.5,7,5.7,0.3,4.4,4,5.7,0.2,4.4,2,5.6,0.3,4.4,3,5.9,0.3,4.6,3,5.6,0.3,4.4,12,6.5,0.2,5,12,6.2,0.3,4.8,7,269.6,0.1,201.3,0
hackingwu/Java-Promise,5.8,13.5,2.3,1,12,0.3,2.1,6,11.9,0.2,2.1,6,11.8,0.2,2.1,2,12,0.2,2.1,3,12,0.2,2.1,3,11.7,0.3,2.1,11,12,0.2,2.1,6,11.8,0.3,2.1,11,13,0.2,2.3,1
520github/fw-parallel-task,31.8,38.4,1.2,3,37.4,0.3,1.2,9,37.2,0.3,1.2,9,37.8,0.3,1.2,5,37.7,0.2,1.2,5,37.6,0.2,1.2,5,38,0.3,1.2,11,37.8,0.2,1.2,9,37.6,0.3,1.2,9,44.6,0.3,1.4,3
anomalizer/tungsten-fsm,4.9,9.6,2,0,10.5,0.6,2.3,4,12.1,0.3,2.5,4,10.4,0.3,2.2,4,10.5,0.3,2.2,4,10.7,0.4,2.3,4,10.5,0.3,2.2,11,10.9,0.3,2.3,4,10.8,0.4,2.3,4,225.1,0.3,46.3,0
ihaolin/wechat,3.2,7.2,2.2,2,6.2,0.2,2,15,6.2,0.2,2,10,6.5,0.2,2.1,2,6.4,0.2,2.1,2,6.4,0.2,2,2,6.3,0.2,2,17,6.5,0.2,2.1,10,6.5,0.2,2.1,15,6.9,0.2,2.2,2
rovats/java-utils,1,4.9,4.9,1,3.8,0.2,4,1,4,0.2,4.2,1,3.8,0.1,4,1,3.9,0.1,4.1,1,4,0.1,4.2,1,3.8,0.1,3.9,2,4,0.2,4.2,2,3.9,0.2,4.1,1,26.9,0.1,27.3,1
MountCloud/ffmpeg-operate,2.5,6.3,2.5,4,5.7,0.2,2.4,14,5.6,0.2,2.3,14,5.5,0.1,2.3,14,5.8,0.1,2.4,14,5.8,0.2,2.4,14,5.8,0.2,2.4,73,5.8,0.2,2.4,17,5.9,0.2,2.4,14,114.3,0.2,45.8,4
zman2013/scuttlebutt,3.6,9.1,2.5,15,18.2,1.1,5.3,32,17.9,1,5.2,30,18.2,1.1,5.3,17,18.2,1.1,5.3,14,18.2,1.1,5.3,10,18.2,1.2,5.4,94,26.6,1.1,7.7,29,34.9,1,9.9,29,TO,,24000.0,0
offbynull/portmapper,4.7,13.5,2.8,0,28.8,1.6,6.4,16,28.9,1.5,6.4,16,28.9,1.5,6.4,14,28.8,1.5,6.4,14,29.7,1.5,6.6,14,29.8,2,6.7,44,29.5,1.5,6.5,16,29.6,1.5,6.6,16,TO,,18383.0,0
sdorra/ldap-unit,2.6,5.6,2.2,0,28.7,2.1,12,4,28.5,2.1,11.9,4,28.4,2.1,11.8,4,28.8,2,12,4,29.6,2,12.3,4,28.1,2.2,11.8,119,72.3,2.1,28.9,4,74.6,2,29.8,6,TO,,33230.8,0
kurbatov/firmata4j,3.5,8.8,2.5,0,7.5,0.2,2.2,2,7.4,0.2,2.1,2,7.4,0.2,2.1,2,7.4,0.2,2.1,2,7.4,0.2,2.1,2,7.4,0.2,2.2,7,7.5,0.2,2.2,2,7.5,0.2,2.2,2,89,0.2,25.1,0
Azure-Samples/cassandra-proxy,3.8,12.6,3.4,0,70.6,3.6,19.7,21,71,3.6,19.8,21,71.3,4,20,5,71.9,3.5,20.1,7,71.8,3.5,20,7,69.9,3.6,19.5,21,117.9,3.5,32.3,23,161.3,3.6,43.9,53,TO,,22736.8,0
tguzik/m2u,17.9,11.9,0.7,96,57.5,4.3,3.5,195,54.7,4.2,3.3,193,55,3.4,3.3,133,57,3.3,3.4,133,55.4,3.3,3.3,133,55.8,3.9,3.3,193,67.1,3.3,3.9,185,80.5,4.3,4.7,190,FAIL,,,0
