repo,baseline,rv,rv(x),hb,hb(x),hbepoch,hbepoch(x),shb,shb(x),shbepoch,shbepoch(x),fhb,fhb(x),lockset,lockset(x),goldilocks,goldilocks(x),wcp,wcp(x),syncp,syncp(x)
rbuck/java-retry,265.1,1436.1,5.4,453.4,1.7,480.9,1.8,486.0,1.8,465.5,1.8,476.7,1.8,483.7,1.8,481.9,1.8,451.4,1.7,652.6,2.5
mikebrock/jboss-websockets,571.7,1996.9,3.5,730.9,1.3,697.8,1.2,701.1,1.2,697.3,1.2,735.0,1.3,744.5,1.3,723.3,1.3,1295.1,2.3,11304.0,19.8
PhantomThief/thrift-pool-client,314.4,1062.0,3.4,626.7,2.0,641.0,2.0,611.2,1.9,607.2,1.9,628.7,2.0,613.7,2.0,655.7,2.1,1240.9,3.9,14409.8,45.8
hackingwu/Java-Promise,248.4,580.1,2.3,478.4,1.9,489.2,2.0,494.0,2.0,476.6,1.9,470.9,1.9,487.2,2.0,478.5,1.9,489.2,2.0,659.5,2.7
520github/fw-parallel-task,247.8,597.3,2.4,558.8,2.3,541.4,2.2,545.4,2.2,561.7,2.3,543.3,2.2,562.2,2.3,536.6,2.2,551.6,2.2,1756.2,7.1
anomalizer/tungsten-fsm,231.4,512.1,2.2,606.3,2.6,626.6,2.7,645.2,2.8,632.4,2.7,631.5,2.7,632.2,2.7,647.2,2.8,660.2,2.9,11381.3,49.2
ihaolin/wechat,239.6,646.3,2.7,579.6,2.4,548.2,2.3,560.7,2.3,560.8,2.3,568.9,2.4,560.4,2.3,552.5,2.3,560.7,2.3,758.6,3.2
rovats/java-utils,239.6,576.5,2.4,460.5,1.9,440.6,1.8,431.1,1.8,442.4,1.8,444.4,1.9,426.0,1.8,454.6,1.9,439.1,1.8,6340.5,26.5
MountCloud/ffmpeg-operate,235.5,577.4,2.5,667.7,2.8,632.8,2.7,622.6,2.6,651.9,2.8,650.1,2.8,648.4,2.8,632.9,2.7,658.0,2.8,14079,59.8
zman2013/scuttlebutt,373.4,790.3,2.1,2193.1,5.9,2101.0,5.6,2425.8,6.5,2325.3,6.2,2265.9,6.1,2389.7,6.4,2956.3,7.9,11150.2,29.9,TO,
offbynull/portmapper,410.8,733.3,1.8,722.6,1.8,720.6,1.8,725.9,1.8,721.9,1.8,826.6,2.0,722.4,1.8,717.2,1.7,1065.1,2.6,TO,
