RV-Predict,failures: 32,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other,blocking,sum,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other
tguzik/m2u,453,91,153,9,128,9,183,6,3092,1032,43.90%,8.80%,14.80%,0.90%,12.40%,0.90%,17.70%,0.60%
laforge49/JFile,323,79,525,77,11546,0,134,10,124623,12694,2.50%,0.60%,4.10%,0.60%,91.00%,0.00%,1.10%,0.10%
fusesource/hawtjournal,157,180,1646,167,8022,0,948,13,79490,11133,1.40%,1.60%,14.80%,1.50%,72.10%,0.00%,8.50%,0.10%
rbuck/java-retry,123,3,21,20,10411,0,43,38,37716,10659,1.20%,0.00%,0.20%,0.20%,97.70%,0.00%,0.40%,0.40%
mikebrock/jboss-websockets,86,19,31,60,18027,0,6,6,108896,18235,0.50%,0.10%,0.20%,0.30%,98.90%,0.00%,0.00%,0.00%
matzew/simple-websocket-client,1207,114,373,38,1706,0,356,36,94718,3830,31.50%,3.00%,9.70%,1.00%,44.50%,0.00%,9.30%,0.90%
lusis/zmq-appender,81,8,31,3,24,0,33,0,277,180,45.00%,4.40%,17.20%,1.70%,13.30%,0.00%,18.30%,0.00%
rpuch/xremoting,687,163,380,18,131,3,739,3,3819,2124,32.30%,7.70%,17.90%,0.80%,6.20%,0.10%,34.80%,0.10%
timroes/aXMLRPC,1842,247,337,27,663,5,1360,12,8318,4493,41.00%,5.50%,7.50%,0.60%,14.80%,0.10%,30.30%,0.30%
PhantomThief/thrift-pool-client,220,347,48,14,11927,0,396,83,132689,13035,1.70%,2.70%,0.40%,0.10%,91.50%,0.00%,3.00%,0.60%
basdijkstra/tau-rest-assured,942,286,295,14,116,2,1075,11,5476,2741,34.40%,10.40%,10.80%,0.50%,4.20%,0.10%,39.20%,0.40%
hackingwu/Java-Promise,137,0,27,9,62,1,4,7,2889,247,55.50%,0.00%,10.90%,3.60%,25.10%,0.40%,1.60%,2.80%
pf4j/pf4j-update,254,36,48,8,57,2,369,6,2091,780,32.60%,4.60%,6.20%,1.00%,7.30%,0.30%,47.30%,0.80%
kevinsawicki/etag-cache,326,21,88,17,256,3,192,4,1797,907,35.90%,2.30%,9.70%,1.90%,28.20%,0.30%,21.20%,0.40%
googleads/adwords-scripts-linkchecker,1369,370,461,20,70,0,496,84,153651,2870,47.70%,12.90%,16.10%,0.70%,2.40%,0.00%,17.30%,2.90%
xebia-france/xebia-servlet-extras,531,39,150,19,198,6,474,3,2791,1420,37.40%,2.70%,10.60%,1.30%,13.90%,0.40%,33.40%,0.20%
taksan/skype-java-api,277,14,70,35,998,0,63,7,28282,1464,18.90%,1.00%,4.80%,2.40%,68.20%,0.00%,4.30%,0.50%
twilio/authy-java,670,495,1290,84,115,0,1531,50,6486,4235,15.80%,11.70%,30.50%,2.00%,2.70%,0.00%,36.20%,1.20%
lialun/EasyCache,560,51,206,14,79,1,200,1086,13939,2197,25.50%,2.30%,9.40%,0.60%,3.60%,0.00%,9.10%,49.40%
