RV-Predict,failures: 32,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other,blocking,sum,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other
tguzik/m2u,171,0,2,0,0,0,0,62,1050,235,72.80%,0.00%,0.90%,0.00%,0.00%,0.00%,0.00%,26.40%
laforge49/JFile,308,5,81,22,3319,0,79,50,9092,3864,8.00%,0.10%,2.10%,0.60%,85.90%,0.00%,2.00%,1.30%
fusesource/hawtjournal,151,59,326,32,2144,0,237,77,12703,3026,5.00%,1.90%,10.80%,1.10%,70.90%,0.00%,7.80%,2.50%
rbuck/java-retry,122,3,21,20,10411,0,41,94,6030,10712,1.10%,0.00%,0.20%,0.20%,97.20%,0.00%,0.40%,0.90%
mikebrock/jboss-websockets,76,0,0,0,0,0,5,18,18199,99,76.80%,0.00%,0.00%,0.00%,0.00%,0.00%,5.10%,18.20%
matzew/simple-websocket-client,950,40,156,25,1484,0,337,61,975,3053,31.10%,1.30%,5.10%,0.80%,48.60%,0.00%,11.00%,2.00%
lusis/zmq-appender,73,6,25,2,15,0,23,14,82,158,46.20%,3.80%,15.80%,1.30%,9.50%,0.00%,14.60%,8.90%
rpuch/xremoting,623,136,271,16,60,0,705,68,571,1879,33.20%,7.20%,14.40%,0.90%,3.20%,0.00%,37.50%,3.60%
timroes/aXMLRPC,1628,197,258,19,186,4,1360,189,285,3841,42.40%,5.10%,6.70%,0.50%,4.80%,0.10%,35.40%,4.90%
PhantomThief/thrift-pool-client,141,0,1,0,0,0,20,101,12249,263,53.60%,0.00%,0.40%,0.00%,0.00%,0.00%,7.60%,38.40%
basdijkstra/tau-rest-assured,906,262,264,13,92,2,1075,87,140,2701,33.50%,9.70%,9.80%,0.50%,3.40%,0.10%,39.80%,3.20%
hackingwu/Java-Promise,135,0,27,9,62,1,4,46,1041,284,47.50%,0.00%,9.50%,3.20%,21.80%,0.40%,1.40%,16.20%
pf4j/pf4j-update,223,7,32,4,37,2,369,42,61,716,31.10%,1.00%,4.50%,0.60%,5.20%,0.30%,51.50%,5.90%
kevinsawicki/etag-cache,276,5,54,12,199,3,190,37,200,776,35.60%,0.60%,7.00%,1.50%,25.60%,0.40%,24.50%,4.80%
googleads/adwords-scripts-linkchecker,1235,320,328,11,47,0,496,72,3461,2509,49.20%,12.80%,13.10%,0.40%,1.90%,0.00%,19.80%,2.90%
xebia-france/xebia-servlet-extras,444,14,92,13,61,6,469,58,383,1157,38.40%,1.20%,8.00%,1.10%,5.30%,0.50%,40.50%,5.00%
taksan/skype-java-api,270,5,16,8,281,0,45,63,3832,688,39.20%,0.70%,2.30%,1.20%,40.80%,0.00%,6.50%,9.20%
