repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
xebia-france/xebia-servlet-extras,hbepoch,3.84,272932,26.18,12.15,745940,118,23.47,4.72,1108716,118,24.53,4.41,739332,118
xebia-france/xebia-servlet-extras,hb,4.22,272704,24.39,13.97,758480,178,23.14,5.14,811544,178,26.43,5.20,768824,178
xebia-france/xebia-servlet-extras,shb,4.15,273772,31.10,6.33,800564,7,29.00,4.25,791556,7,30.16,4.23,789760,7
kevinsawicki/etag-cache,shbepoch,11.05,374112,17.45,4.88,1246528,7,19.91,1.48,771236,7,15.19,1.26,772508,7
kevinsawicki/etag-cache,fhb,11.01,367588,17.95,4.39,1424152,7,20.48,1.39,1537616,7,15.47,1.47,1535896,7
kevinsawicki/etag-cache,hb,11.14,377200,19.18,2.86,741476,7,20.97,1.64,770080,7,19.04,2.00,766628,7
kevinsawicki/etag-cache,shb,10.98,357160,22.43,1.96,1233692,7,24.41,1.68,789068,7,20.60,2.07,1230968,7
kevinsawicki/etag-cache,hbepoch,11.02,372376,23.16,2.08,859320,7,24.29,2.03,1215964,7,20.86,2.21,1211676,7
kevinsawicki/etag-cache,lockset,11.01,384188,17.31,8.61,1266988,856,16.25,8.54,1247500,856,15.64,8.79,1257396,856
kevinsawicki/etag-cache,goldilocks,19.39,353144,25.24,1.66,1437824,9,25.03,1.25,1433716,9,22.65,1.56,1437124,10
tguzik/m2u,lockset,1.74,274256,41.05,3.45,1722788,191,41.57,3.81,2460616,176,42.74,4.30,1806168,190
tguzik/m2u,goldilocks,1.73,273068,50.69,3.26,2559456,190,49.92,3.36,2740644,192,51.17,3.40,2523332,177
tguzik/m2u,fhb,2.36,274700,58.65,3.66,771936,133,60.10,3.35,767780,134,58.05,3.85,762188,133
tguzik/m2u,shbepoch,2.42,271708,59.53,3.30,736252,133,59.40,3.25,740100,133,60.80,3.47,732708,133
tguzik/m2u,shb,2.26,263656,60.62,3.46,777096,133,61.13,3.68,767612,133,63.94,3.95,801296,133
syphr42/prom,goldilocks,5.71,280876,FAIL,,,,FAIL,,,,FAIL,,,
tguzik/m2u,wcp,1.78,273572,57.96,3.82,8238196,192,60.12,4.13,9369556,188,65.93,3.81,8617352,194
tguzik/m2u,hb,10.18,294964,57.62,4.82,785860,194,57.34,4.97,781968,191,63.54,4.48,779556,194
syphr42/prom,hb,6.07,295228,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,shb,6.07,263880,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,fhb,7.28,242640,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,wcp,5.70,271728,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,hbepoch,6.18,296072,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,shbepoch,7.28,236548,FAIL,,,,FAIL,,,,FAIL,,,
tguzik/m2u,hbepoch,11.40,253236,71.26,4.50,766784,161,73.36,5.54,760900,194,79.65,4.30,764820,188
hackingwu/Java-Promise,hb,5.82,254740,20.79,1.36,396876,6,18.15,0.20,368496,6,10.28,0.23,382924,6
hackingwu/Java-Promise,hbepoch,8.28,259028,25.44,0.53,388444,6,11.54,0.33,398752,6,11.78,0.28,397508,6
PhantomThief/thrift-pool-client,lockset,10.40,316268,8.06,0.77,633868,13,8.23,0.62,612988,13,8.34,0.65,632656,12
rbuck/java-retry,fhb,36.15,261272,51.85,0.87,384552,9,32.07,1.03,411196,9,39.69,0.31,406388,9
rbuck/java-retry,shbepoch,36.05,289068,51.77,1.04,390536,9,31.97,1.14,428448,9,39.74,0.25,420300,9
