repo,alg,base_rt,base_mem,rt1,mem1,races1,rt2,mem2,races2,rt3,mem3,races3
tguzik/m2u,rv,5.66,265324,18.75,768744,100,13.52,763724,94,23.66,764944,97
kevinsawicki/etag-cache,rv,15.43,347420,26.29,823072,5,19.36,809296,5,17.71,818732,5
cilogi/gaeshiro,rv,4.62,293972,12.22,1241908,0,10.77,1227852,0,12.28,1230524,0
Ardesco/driver-binary-downloader-maven-plugin,rv,13.11,334572,FAIL,,,FAIL,,,FAIL,,
syphr42/prom,rv,1.65,284972,FAIL,,,FAIL,,,FAIL,,
m-czernek/acrobot,rv,9.30,567304,28.55,3959140,13,29.66,3969180,15,26.99,3889316,13
hackingwu/Java-Promise,rv,5.41,230400,10.67,491548,1,10.54,482108,1,10.52,485416,1
jalpedersen/jetty-hazelcast,rv,5.14,265756,14.55,822684,0,22.88,818868,0,17.89,809584,0
zman2013/scuttlebutt,rv,4.64,353280,11.99,743412,16,13.32,746628,21,12.16,745932,20
vbauer/herald,rv,13.31,367200,FAIL,,,FAIL,,,FAIL,,
Azure-Samples/cassandra-proxy,rv,3.37,311124,14.59,762444,0,16.35,751480,0,11.47,773556,0
zhanyeye/DesSim,rv,2.85,264200,9.28,715020,39,8.39,725024,48,9.14,718876,40
VaughnVernon/mockroservices-java,rv,4.83,261896,13.55,628352,7,13.46,623584,7,13.38,632096,7
offbynull/portmapper,rv,4.71,405696,FAIL,,,FAIL,,,FAIL,,
PhantomThief/thrift-pool-client,rv,2.16,313344,67.54,1058828,0,70.07,1048264,0,68.99,1062492,0
buddycloud/channel-directory,rv,6.89,291684,FAIL,,,FAIL,,,FAIL,,
agapsys/embedded-servlet-container,rv,2.35,269644,11.66,820280,0,11.67,810876,0,11.72,803120,0
ihaolin/wechat,rv,4.08,259228,11.32,631780,2,12.36,648816,2,12.68,628816,2
rbuck/java-retry,rv,28.01,265856,96.92,1025076,0,100.00,1195856,0,95.16,1177260,0
rovats/java-utils,rv,1.63,239912,8.84,501424,1,8.40,514468,1,7.86,524252,1
MountCloud/ffmpeg-operate,rv,3.19,258736,10.30,520456,4,10.24,522392,4,11.41,517320,4
mikebrock/jboss-websockets,rv,33.28,582024,97.20,1752232,0,102.07,2275808,0,98.29,2605608,0
520github/fw-parallel-task,rv,31.56,233472,36.10,491404,3,39.17,483160,3,37.27,525796,3
sdorra/ldap-unit,rv,8.68,346528,13.52,767184,0,11.18,832872,0,10.55,760224,0
opentracing-contrib/java-concurrent,rv,4.74,269600,13.12,607312,0,14.26,608748,0,12.23,637120,0
kurbatov/firmata4j,rv,22.98,246864,8.29,567352,0,8.24,559136,0,9.40,554728,0
jiangxincode/SearchEngine,rv,2.08,279504,9.42,560256,2,8.47,561760,2,17.54,551216,2
dubasdey/portable-ftp-server,rv,2.86,236544,8.76,681712,0,9.38,694272,0,FAIL,,
InfoSec812/sonar-auth-google,rv,6.75,391880,FAIL,,,FAIL,,,FAIL,,
j-easy/easy-flows,rv,5.34,298464,15.07,773296,0,14.49,765760,0,14.72,772016,0
dyorgio/cpu-watcher,rv,86.25,589852,92.93,704000,2,93.68,1671212,2,93.65,1020908,4
javadelight/delight-fileupload,rv,2.80,456748,7.85,610244,0,7.77,611740,0,12.02,632284,0
jclawson/jackson-dataformat-hocon,rv,3.87,256640,11.31,764100,1,10.29,764668,1,10.49,774448,1
buddycloud/buddycloud-server-java,rv,7.66,640564,13.27,1127032,0,12.91,1127700,0,12.75,1131796,0
tv2norge-collab/java-serf-client,rv,3.23,262584,FAIL,,,FAIL,,,FAIL,,
majusko/grpc-jwt-spring-boot-starter,rv,12.90,426948,80.44,3371664,1,90.93,3485236,1,100.11,3543512,1
NetsOSS/embedded-jetty,rv,10.37,401564,FAIL,,,FAIL,,,FAIL,,
xebia-france/xebia-servlet-extras,rv,6.81,264524,30.91,792880,13,13.46,787140,13,FAIL,,
Skullabs/powerlib,rv,6.72,286028,FAIL,,,FAIL,,,FAIL,,
520github/fw-perf-test,rv,2.87,267208,14455.08,22238128,0,16473.18,17658036,0,11890.46,16814724,0
