repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
520github/fw-parallel-task,fhb,31.93,270806.67,40.03,1.27,462337.33,5,37.86,0.30,458173.33,5,37.43,0.29,452637.33,5
520github/fw-parallel-task,goldilocks,32.47,268549.33,40.29,0.90,455272.00,9,37.96,0.33,457505.33,9,38.81,0.53,464233.33,9
520github/fw-parallel-task,hb,31.81,251450.67,37.49,0.82,441142.67,9,36.77,0.28,455381.33,9,36.92,0.39,437376.00,9
520github/fw-parallel-task,hbepoch,32.04,249126.67,37.57,0.78,445265.33,9,36.64,0.29,456353.33,9,36.53,0.41,442270.67,9
520github/fw-parallel-task,lockset,32.48,268145.33,42.20,0.78,462925.33,11,39.53,0.40,452822.67,11,38.78,0.57,462881.33,11
520github/fw-parallel-task,shb,31.78,243254.67,38.62,1.30,449072.00,5,36.02,0.26,435482.67,5,35.91,0.43,437856.00,5
520github/fw-parallel-task,shbepoch,31.89,265121.33,40.32,1.00,468833.33,5,38.03,0.27,446233.33,5,35.80,0.47,441162.67,5
520github/fw-parallel-task,syncp,32.30,258962.67,40.49,0.75,1802716.00,3,43.63,0.26,1828300.00,3,63.16,1.11,1828605.33,3
520github/fw-parallel-task,wcp,32.09,256742.67,37.48,0.77,442908.00,9,37.89,0.31,459018.67,9,38.69,0.54,459718.67,9
520github/fw-perf-test,fhb,2.80,256846.67,632.27,47.85,714036.00,4,499.12,43.99,926089.33,2,747.84,64.67,783969.33,2
520github/fw-perf-test,goldilocks,1.89,232448.00,6806.20,78.27,1643926.67,11,8438.10,77.89,2474509.33,14,6974.45,78.65,1577981.33,11
520github/fw-perf-test,hb,2.25,245910.67,593.08,52.81,703937.33,11,938.19,84.75,679366.67,11,873.16,79.52,682990.67,11
520github/fw-perf-test,hbepoch,4.19,245821.33,475.79,50.24,703084.00,11,1082.31,126.43,685506.67,11,878.42,82.14,678484.00,19
520github/fw-perf-test,lockset,1.99,255837.33,874.40,81.61,686705.33,44,382.91,43.96,736260.00,44,743.80,67.74,710526.67,44
520github/fw-perf-test,shb,3.56,238889.33,876.55,78.38,684370.67,2,566.70,48.68,697096.00,2,880.17,77.33,687121.33,2
520github/fw-perf-test,shbepoch,3.30,264098.67,428.88,45.09,962404.00,4,758.55,64.49,712654.67,2,763.70,66.60,703664.00,2
520github/fw-perf-test,wcp,3.45,265992.00,503.14,70.05,14062912.00,19,460.29,46.32,14250280.00,19,820.36,73.09,9411114.67,24
Ardesco/driver-binary-downloader-maven-plugin,fhb,16.63,339297.33,,,,0,,,,0,,,,0
Ardesco/driver-binary-downloader-maven-plugin,hb,16.95,350148.00,,,,0,,,,0,,,,0
Ardesco/driver-binary-downloader-maven-plugin,hbepoch,15.47,332218.67,,,,0,,,,0,,,,0
Ardesco/driver-binary-downloader-maven-plugin,lockset,9.32,337688.00,,,,0,,,,0,,,,0
Ardesco/driver-binary-downloader-maven-plugin,shb,16.84,344402.67,,,,0,,,,0,,,,0
Ardesco/driver-binary-downloader-maven-plugin,shbepoch,16.79,333542.67,,,,0,,,,0,,,,0
Azure-Samples/cassandra-proxy,fhb,5.60,294390.67,60.31,3.79,757836.00,2,64.70,4.05,3534750.67,2,46.02,2.50,4692844.00,2
Azure-Samples/cassandra-proxy,goldilocks,7.48,303128.00,70.18,3.82,1244982.67,2,80.50,5.81,1281330.67,2,106.50,6.00,1428154.67,2
Azure-Samples/cassandra-proxy,hb,5.97,313044.00,73.62,3.27,718057.33,2,89.79,6.66,654992.00,2,67.78,3.67,758017.33,2
Azure-Samples/cassandra-proxy,hbepoch,5.60,291466.67,73.97,3.27,721797.33,2,64.79,5.98,723532.00,2,56.63,3.87,697281.33,2
Azure-Samples/cassandra-proxy,lockset,5.60,302218.67,60.07,4.01,705401.33,27,64.73,5.94,729890.67,27,40.18,2.54,1148530.67,27
Azure-Samples/cassandra-proxy,shb,5.61,305552.00,43.38,4.14,1405174.67,2,57.62,2.80,973700.00,2,57.60,3.78,945068.00,2
Azure-Samples/cassandra-proxy,shbepoch,5.84,305073.33,92.52,8.02,1348846.67,2,65.46,3.27,749026.67,2,68.05,3.46,1962764.00,2
Azure-Samples/cassandra-proxy,wcp,5.56,308117.33,105.84,3.24,12572010.67,32,102.15,6.21,14764241.33,33,109.84,3.29,14036705.33,32
InfoSec812/sonar-auth-google,fhb,4.31,391198.00,,,,0,,,,0,,,,0
InfoSec812/sonar-auth-google,goldilocks,9.58,375728.00,,,,0,,,,0,,,,0
InfoSec812/sonar-auth-google,hb,9.53,397669.33,,,,0,,,,0,,,,0
InfoSec812/sonar-auth-google,hbepoch,9.59,404154.67,,,,0,,,,0,,,,0
InfoSec812/sonar-auth-google,lockset,8.92,393437.33,,,,0,,,,0,,,,0
InfoSec812/sonar-auth-google,shb,9.57,398825.33,,,,0,,,,0,,,,0
InfoSec812/sonar-auth-google,shbepoch,9.24,373673.33,,,,0,,,,0,,,,0
MountCloud/ffmpeg-operate,fhb,3.47,265822.67,8.06,0.38,642197.33,14,9.35,0.35,617493.33,14,12.82,0.73,660281.33,14
MountCloud/ffmpeg-operate,goldilocks,2.97,260352.00,9.50,0.35,638964.00,17,7.88,0.27,665982.67,17,8.15,0.62,615449.33,17
MountCloud/ffmpeg-operate,hb,3.37,258505.33,11.75,0.42,655158.67,14,9.30,0.36,650894.67,14,10.07,0.69,645717.33,14
MountCloud/ffmpeg-operate,hbepoch,3.58,263190.67,11.80,0.47,647744.00,14,9.36,0.36,645493.33,14,14.55,0.77,646516.00,14
MountCloud/ffmpeg-operate,lockset,3.02,241120.00,8.18,0.43,619458.67,73,8.75,0.39,643846.67,73,8.78,0.57,623541.33,73
MountCloud/ffmpeg-operate,shb,3.65,262229.33,9.00,0.30,645248.00,14,10.64,0.37,645397.33,14,14.39,1.27,643901.33,14
MountCloud/ffmpeg-operate,shbepoch,3.84,266968.00,9.77,0.50,658725.33,14,10.86,0.36,631573.33,14,13.83,0.68,651356.00,14
MountCloud/ffmpeg-operate,syncp,3.14,255856.00,155.68,0.47,13158628.00,4,153.70,0.39,12947857.33,4,117.86,0.29,13092441.33,4
MountCloud/ffmpeg-operate,wcp,3.59,250972.00,8.28,0.42,633874.67,14,12.47,0.50,657357.33,14,7.92,0.44,657753.33,14
NetsOSS/embedded-jetty,fhb,15.47,389590.67,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,goldilocks,14.03,381461.33,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,hb,15.19,383104.00,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,hbepoch,15.11,377130.67,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,lockset,14.10,387256.00,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,shb,7.23,380848.00,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,shbepoch,15.38,390648.00,,,,0,,,,0,,,,0
PhantomThief/thrift-pool-client,fhb,5.01,337428.00,13.72,0.52,639662.67,3,12.66,0.47,629578.67,2,14.31,0.68,643326.67,2
PhantomThief/thrift-pool-client,goldilocks,4.68,340896.00,10.95,0.55,701964.00,12,11.91,0.60,696577.33,12,10.95,0.73,669721.33,12
PhantomThief/thrift-pool-client,hb,4.87,310748.00,9.67,0.49,599713.33,7,11.42,0.62,631356.00,7,9.84,0.57,607957.33,7
