repo,alg,base_rt,base_mem,rt1,mem1,races1,rt2,mem2,races2,rt3,mem3,races3
520github/fw-parallel-task,rv,31.85,258942.67,42.69,509872.00,3,37.58,507589.33,3,37.51,500120.00,3
520github/fw-perf-test,rv,4.84,268804.00,16850.19,15080834.00,0,12613.42,21542988.00,0,14272.91,18903629.33,0
Ardesco/driver-binary-downloader-maven-plugin,rv,12.23,326788.00,,,2,,,2,,,2
Azure-Samples/cassandra-proxy,rv,5.71,303018.67,22.36,750108.00,0,11.80,758096.00,0,14.14,762493.33,0
InfoSec812/sonar-auth-google,rv,9.19,399498.67,,,0,,,0,,,0
MountCloud/ffmpeg-operate,rv,3.52,260005.33,14.61,528006.67,4,10.22,530784.00,4,10.65,520056.00,4
NetsOSS/embedded-jetty,rv,14.75,386054.67,,,0,,,0,,,0
PhantomThief/thrift-pool-client,rv,4.86,323590.67,71.40,1057749.33,0,70.15,1035745.33,0,68.87,1056528.00,0
Skullabs/powerlib,rv,8.88,276769.33,,,1,,,1,,,1
VaughnVernon/mockroservices-java,rv,4.97,263772.00,17.82,642892.00,7,13.16,634818.67,7,13.46,628010.67,7
agapsys/embedded-servlet-container,rv,4.01,262762.67,14.34,812758.67,0,10.94,773364.00,0,11.68,811425.33,0
buddycloud/buddycloud-server-java,rv,17.05,618336.00,20.71,1096562.67,0,12.99,1119450.67,0,12.98,1128842.67,0
buddycloud/channel-directory,rv,10.74,287702.67,,,0,,,0,,,0
cilogi/gaeshiro,rv,20.70,294558.67,20.29,1246628.00,0,10.62,1210054.67,0,11.76,1233428.00,0
dubasdey/portable-ftp-server,rv,3.26,257110.67,13.11,726208.00,0,8.82,719498.00,0,9.07,687992.00,0
dyorgio/cpu-watcher,rv,92.81,581694.67,99.55,845118.67,1,100.45,811350.67,1,93.42,1132040.00,2
hackingwu/Java-Promise,rv,5.94,250348.00,17.00,507848.00,1,15.35,505972.00,1,10.58,486357.33,1
ihaolin/wechat,rv,3.84,267185.33,13.02,638964.00,2,10.36,597946.67,2,12.12,636470.67,2
j-easy/easy-flows,rv,9.85,287212.00,10.05,746057.33,0,14.03,775605.33,0,14.76,770357.33,0
jalpedersen/jetty-hazelcast,rv,6.28,267066.67,11.00,802600.00,0,11.16,799072.00,0,18.44,817045.33,0
javadelight/delight-fileupload,rv,4.98,443390.67,10.61,613950.67,0,9.72,572308.00,0,9.21,618089.33,0
jclawson/jackson-dataformat-hocon,rv,7.37,243292.00,14.71,772034.67,1,9.08,738954.67,1,10.70,767738.67,1
jiangxincode/SearchEngine,rv,2.57,273441.33,7.13,527392.00,2,12.33,548976.00,2,11.81,557744.00,2
kevinsawicki/etag-cache,rv,10.38,357393.33,40.90,845614.67,4,12.30,807846.67,4,21.12,817033.33,4
kevinsawicki/http-request,rv,6.25,370086.00,,,1,,,1,,,1
kurbatov/firmata4j,rv,15.29,272605.33,13.55,591797.33,0,10.50,601570.67,0,8.64,560405.33,0
m-czernek/acrobot,rv,31.11,537258.67,34.74,3897524.00,6,40.37,3842805.33,6,28.40,3939212.00,6
majusko/grpc-jwt-spring-boot-starter,rv,42.00,417936.00,164.68,3565944.00,1,61.48,3541998.00,1,90.49,3466804.00,1
mikebrock/jboss-websockets,rv,33.14,578905.33,101.58,2104030.67,0,101.01,2407242.67,0,99.19,2211216.00,0
offbynull/portmapper,rv,4.71,405696.00,,,0,,,0,,,0
opentracing-contrib/java-concurrent,rv,7.70,265014.67,10.81,592934.67,0,12.66,608594.67,0,13.20,617726.67,0
rbuck/java-retry,rv,30.45,252361.33,103.37,1323514.67,0,96.13,1170858.67,0,97.36,1132730.67,0
rovats/java-utils,rv,1.98,266910.67,10.04,518548.00,1,6.74,543494.67,1,8.37,513381.33,1
sdorra/ldap-unit,rv,10.20,349080.00,10.30,759741.33,0,16.04,959488.00,0,11.75,786760.00,0
syphr42/prom,rv,3.18,281073.33,,,0,,,0,,,0
tguzik/m2u,rv,10.17,259684.00,13.08,773140.00,97,13.83,762640.00,92,18.64,765804.00,82
tv2norge-collab/java-serf-client,rv,4.56,261786.67,,,0,,,0,,,0
vbauer/herald,rv,13.16,347016.00,,,1,,,0,,,1
xebia-france/xebia-servlet-extras,rv,6.16,269808.00,24.02,762584.00,11,23.05,764921.33,11,22.19,790010.00,11
zhanyeye/DesSim,rv,8.20,288037.33,19.69,729432.00,39,11.54,757142.67,48,8.94,719640.00,40
zman2013/scuttlebutt,rv,6.18,337366.67,14.11,740398.67,11,9.50,748721.33,15,12.49,745324.00,15
